poem	text	lemmatized_text
jacinto-bobo_sin_titulo.txt	"Llevo ya muchos días de cuarentena,
Hoy no me he duchado ni el pijama he lavado,
Está como el papel de una magdalena.
Luego mi cuñado es que me tiene todo el día amargado
Reenviando en el Whatsapp pamplinas y penas.
La vecina de arriba venga a entrenar,
Al que vive al lado le ha dado por cantar,
Y el niño de abajo que solo llora...
En mi bloque la gente está muy aburrida,
Si antes daban por culo, ahora más todavía.

Pero a las siete y media esto ya deja de ser un cuartel,
Voy a llamar a mis padres que luego ya es tarde,
Para verles la cara y comprobar que hoy están bien.

Porque al llegar las ocho se llenan los balcones
De niños que sonríen con arcoíris de mil colores,
Gente que antes me era extraña, ahora son mi única España,
Batiéndose las manos por sus hermanos sin regañar,
Apoyando a esos héroes que están luchando por nuestra sanidad,
Mientras repiten: Quédate en casa.
Compartiendo este aplauso, los agobios se me pasan
Y las penas se me olvidan,
Cuando veo que en los balcones
No hay más banderas que la alegría.
"	"llevar ya mucho día de cuarentena , 
 hoy no yo haber duchar ni el pijama haber lavar , 
 estar como el papel de uno magdalena . 
 luego mi cuñado ser que yo tener todo el día amargado 
 reenviar en el Whatsapp pamplina y pena . 
 el vecina de arriba venir a entrenar , 
 Al que vivir al lado él haber dar por cantar , 
 y el niño de abajo que solo llorar ... 
 en mi bloque el gente estar mucho aburrido , 
 Si antes dar por culo , ahora más todavía . 

 pero a el siete y medio este ya dejar de ser uno cuartel , 
 ir a llamar a mi padre que luego ya ser tarde , 
 Para ver él el cara y comprobar que hoy estar bien . 

 porque al llegar el ocho él llenar el balcón 
 De niño que sonreir con arcoíris de mil color , 
 Gente que antes yo ser extraño , ahora ser mi único España , 
 batir él el mano por su hermano sin regañar , 
 apoyar a ese héroe que estar luchar por nuestro sanidad , 
 Mientras repetir : quedar tú en casa . 
 compartir este aplauso , el agobio él yo pasar 
 y el pena él yo olvidar , 
 Cuando ver que en el balcón 
 no haber más bandera que el alegría . 
"
izal_la buena sombra.txt	"El mar en calma, la paz que arroja
Del sol que quema, la buena sombra
De las mentiras, saber a tiempo
Quién es verdad, quién puro cuento
De la derrota, pies en el suelo
Del accidente, el buen recuerdo
De las visitas de los que fueron
Buenos amigos en malas fechas
De esas batallas, ganar la guerra
De las heridas, mi fuerza
Por cada náufrago, un mar
Por cada tormenta
La calma que queda
Por cada puñado de cal
Pies en la arena
Tu cuerpo a tierra
Por cada náufrago, un mar
Por cada tormenta
La calma que queda
Por cada puñado de cal
Pies en la arena
Tu cuerpo a tierra
De la emergencia, necesitarnos
Y ser mejores cuando volvamos
De la ruptura, nuevos caminos
De envejecer como el buen vino
Saber mejor, ser bien querido
De la distancia, echar de menos
De recordar, no estar tan lejos
De no olvidar, tener memoria
Para guardar lo que me importa
De la locura, el sexo
Por cada luna, hay un sol
De vida
Por cada invierno, el calor
De un verano a la vista
Por cada luna, hay un sol
De vida
Por cada invierno, el calor
De un verano a la vista
Por cada náufrago, un mar
Por cada tormenta
La calma que queda
Por cada puñado de cal
Pies en la arena
Tu cuerpo a tierra
Por cada náufrago, un mar
Por cada tormenta
La calma que queda
Por cada puñado de cal
Pies en la arena
Tu cuerpo a tierra
"	"el mar en calma , el paz que arrojar 
 Del sol que quemar , el buen sombra 
 De el mentira , saber a tiempo 
 quién ser verdad , quién puro cuento 
 De el derrota , pie en el suelo 
 Del accidente , el buen recuerdo 
 De el visita de el que ser 
 buen amigo en mala fecha 
 De ese batalla , ganar el guerra 
 de el herida , mi fuerza 
 por cada náufrago , uno mar 
 por cada tormenta 
 el calma que quedar 
 Por cada puñado de cal 
 pie en el arena 
 tu cuerpo a tierra 
 Por cada náufrago , uno mar 
 por cada tormenta 
 el calma que quedar 
 por cada puñado de cal 
 pie en el arena 
 tu cuerpo a tierra 
 de el emergencia , necesitar yo 
 y ser mejor cuando volver 
 de el ruptura , nuevo camino 
 De envejecer como el buen vino 
 saber mejor , ser bien querer 
 de el distancia , echar de meno 
 De recordar , no estar tanto lejos 
 de no olvidar , tener memoria 
 para guardar él que yo importar 
 de el locura , el sexo 
 por cada luna , haber uno sol 
 De vida 
 por cada invierno , el calor 
 De uno verano a el vista 
 por cada luna , haber uno sol 
 De vida 
 por cada invierno , el calor 
 De uno verano a el vista 
 por cada náufrago , uno mar 
 por cada tormenta 
 el calma que quedar 
 Por cada puñado de cal 
 pie en el arena 
 tu cuerpo a tierra 
 Por cada náufrago , uno mar 
 por cada tormenta 
 el calma que quedar 
 por cada puñado de cal 
 pie en el arena 
 tu cuerpo a tierra 
"
fernando-aranda-molina_sin título.txt	"Ya no aplaudo, mi alma está de luto
mis hermanos mueren en tierra de
nadie.

Ya no aplaudo, mi alma está de luto
mi corazón llora, por los abrazos 
no compartidos.

Ya no aplaudo, mi alma y 
mi país están de luto."	"ya no aplaudir , mi alma estar de luto 
 mi hermano morir en tierra de 
 nadie . 

 ya no aplaudir , mi alma estar de luto 
 mi corazón llorar , por el abrazo 
 no compartido . 

 ya no aplaudir , mi alma y 
 mi país estar de luto ."
er-miguelete_sin título.txt	"Llegó con tres heridas
La del amor
La de la muerte
La de la vida
"	"llegar con tres herida 
 el del amor 
 el de el muerte 
 el de el vida 
"
ananastymed_sin título.txt	"Extraño.
Extraño ser extraños.
Extraños que conocen cada rincón y cada pliegue de nuestro cuerpo.
Extraños que oyen esos sórdidos susurros de la piel.
Extraños que conocen nuestros miedos e inseguridades.
Desconocido,me das miedo."	"extraño . 
 extrañar ser extraño . 
 extraño que conocer cada rincón y cada pliegue de nuestro cuerpo . 
 extraño que oir ese sórdido susurro de el piel . 
 extraño que conocer nuestro miedo e inseguridad . 
 desconocido , yo dar miedo ."
rozalen_aves enjauladas.txt	"Cuando salga de esta iré corriendo a buscarte
Te diré con los ojos lo mucho que te echo de menos
Guardaré en un tarrito todos los abrazos, los besos
Para cuando se amarre en el alma la pena y el miedo

Me pondré ante mi abuela y de rodillas
Pediré perdón por las veces que la descuidé
Brindaremos por los que se fueron sin despedida
Otra vez, otra vez

Pero mientras los pajaros rondan las casas nido
Una Primavera radiante avanza con sigilo
He zurcido mis telitas rotas con aguja e hilo
Me he mirado, valorado, he vivido

Somos aves enjauladas
Con tantas ganas de volar
Que olvidamos que en este remanso
También se ve la vida pasar

Cuando se quemen las jaulas
Y vuelva a levantarde el telón
Recuerda siempre la lección
Y este será un mundo mejor

Cuando salga de esta iré corriendo a aplaudirte
Sonreiré, le daré las gracias a quién me cuide
Ya nadie se atreverá a burlar lo importante
La calidad de la sanidad será intocable

No me enfadaré tanto con el que dispara odio
Es momento de que importe igual lo ajeno y lo propio
Contagiar mis ganas de vivir y toda mi alegría
Construir, construir

Pero mientras el cielo y la tierra gozan de un respiro
Reconquistan los animalitos rincones perdidos
He bebido sola lentamente una copa de vino
He volado con un libro, he vivido

Somos aves enjauladas
Con tantas ganas de volar
Que olvidamos que en este remanso
También se ve la vida pasar

Cuando se quemen las jaulas
Y vuelva a levantarde el telón
Recuerda siempre la lección
Y este será un mundo mejor

Cuando salga de esta iré corriendo a abrazarte
"	"cuando salir de este ir correr a buscar tú 
 tú decir con el ojo él mucho que tú echar de meno 
 guardar en uno tarrito todo el abrazo , el beso 
 para cuando él amarrar en el alma el pena y el miedo 

 yo poner ante mi abuela y de rodilla 
 pedir perdón por el vez que él descuidar 
 brindar por el que él ser sin despedida 
 otro vez , otro vez 

 Pero mientras el pajaro rondar el casa nido 
 uno Primavera radiante avanzar con sigilo 
 haber zurcir mi telita roto con aguja e hilo 
 yo haber mirar , valorar , haber vivir 

 ser ave enjaulada 
 con tanto gana de volar 
 Que olvidar que en este remanso 
 también él ver el vida pasar 

 Cuando él quemar el jaula 
 Y volver a levantarde el telón 
 recordar siempre el lección 
 y este ser uno mundo mejor 

 cuando salir de este ir correr a aplaudir tú 
 sonreier , él dar el gracia a quién yo cuidar 
 ya nadie él atreveer a burlar él importante 
 el calidad de el sanidad ser intocable 

 no yo enfadacer tanto con el que disparar odiar 
 ser momento de que importar igual él ajeno y él propio 
 contagiar mi gana de vivir y todo mi alegría 
 construir , construir 

 pero mientras el cielo y el tierra gozar de uno respiro 
 reconquistar el animalito rincón perdido 
 haber beber solo lentamente uno copa de vino 
 haber volar con uno libro , haber vivir 

 ser ave enjaulada 
 con tanto gana de volar 
 Que olvidar que en este remanso 
 también él ver el vida pasar 

 cuando él quemar el jaula 
 Y volver a levantarde el telón 
 recordar siempre el lección 
 y este ser uno mundo mejor 

 cuando salir de este ir correr a abrazar tú 
"
poeta gaditano_sin título.txt	"¿Te acuerdas? No hace tanto. 
Cómo resguardaban los abrazos, 
cómo abrigaban los besos, 
qué cobijo estrechar la mano al amigo 
qué calidez dos cuerpos 
saltándose la barrera del espacio vital. 
Y ahora, ¿lo notas?... 
¡Cuánto frío!
"	"¿ tú acordar ? no hacer tanto . 
 cómo resguardar el abrazo , 
 cómo abrigar el beso , 
 qué cobijo estrechar el mano al amigo 
 qué calidez dos cuerpo 
 saltar él el barrera del espacio vital . 
 y ahora , ¿ él notar ? ... 
 ¡ cuánto frío ! 
"
mister cumbia_la cumbia del coronavirus.txt	"Y volvió el sabor con Mr. Cumbia
Con la cumbia del coronavirus
Todo el mundo está espantado
Con una enfermedad
Se llama el coronavirus
Y es una alarma mundial
Se dice que nació en China
Varios muertos hay por allá
Hay que ponernos atentos
Nos tenemos que cuidar
Para ponernos las pilas
Pa' eso hice esta canción
No todo en la vida es meme
Como la cumbia del avión
Lo mejor es prevenirnos
Unos datos dejo yo
Todos debemos cuidarnos
Pongan mucha atención
Coronavirus coronavirus
Lávense las manos, háganlo seguido
Coronavirus coronavirus
Pónganse las pilas en lugares concurridos
Coronavirus coronavirus
No se toquen la cara, evítenlo amigos
Coronavirus coronavirus
Usen desinfectante eso es muy efectivo
Y este es, el rey de las cumbias virales, Mr. Cumbia
Todo el mundo está espantado
Con una enfermedad
Se llama el coronavirus
Y es una alarma mundial
Se dice que nació en China
Varios muertos hay por allá
Hay que ponernos atentos
Nos tenemos que cuidar
Para ponernos las pilas
Pa' eso hice esta canción
No todo en la vida es meme
Como la cumbia del avión
Lo mejor es prevenirnos
Unos datos dejo yo
Todos debemos cuidarnos
Pongan mucha atención
Coronavirus coronavirus
Lávense las manos, háganlo seguido
Coronavirus coronavirus
Pónganse las pilas en lugares concurridos
Coronavirus coronavirus
No se toquen la cara, evítenlo amigos
Coronavirus coronavirus
Usen desinfectante eso es muy efectivo
Coronavirus coronavirus
Lávense las manos, háganlo seguido
Coronavirus coronavirus
Pónganse las pilas en lugares concurridos
Coronavirus coronavirus
No se toquen la cara, evítenlo amigos
Coronavirus coronavirus
Usen desinfectante eso es muy efectivo"	"y volver el sabor con Mr . Cumbia 
 con el cumbia del coronavirus 
 todo el mundo estar espantado 
 con uno enfermedad 
 él llamar el coronavirus 
 y ser uno alarma mundial 
 él decir que nacer en China 
 varios muerto haber por allá 
 haber que poner yo atento 
 yo tener que cuidar 
 para poner yo el pila 
 Pa ' ese hacer este canción 
 no todo en el vida ser meme 
 Como el cumbia del avión 
 él mejor ser prevenir yo 
 uno dato dejar yo 
 todo deber cuidar yo 
 pongan mucho atención 
 coronavirus coronavirus 
 laven él el mano , hagan él seguido 
 coronavirus coronavirus 
 pongan él el pila en lugar concurrido 
 coronavirus coronavirus 
 no él tocar el cara , eviten él amigo 
 coronavirus coronavirus 
 usen desinfectante ese ser mucho efectivo 
 y este ser , el rey de el cumbia viral , Mr . Cumbia 
 todo el mundo estar espantado 
 con uno enfermedad 
 él llamar el coronavirus 
 y ser uno alarma mundial 
 él decir que nacer en China 
 varios muerto haber por allá 
 haber que poner yo atento 
 yo tener que cuidar 
 Para poner yo el pila 
 Pa ' ese hacer este canción 
 no todo en el vida ser meme 
 como el cumbia del avión 
 él mejor ser prevenir yo 
 uno dato dejar yo 
 todo deber cuidar yo 
 pongan mucho atención 
 Coronavirus coronavirus 
 laven él el mano , hagan él seguido 
 Coronavirus coronavirus 
 pongan él el pila en lugar concurrido 
 Coronavirus coronavirus 
 no él tocar el cara , eviten él amigo 
 Coronavirus coronavirus 
 usen desinfectante ese ser mucho efectivo 
 Coronavirus coronavirus 
 laven él el mano , hagan él seguido 
 Coronavirus coronavirus 
 pongan él el pila en lugar concurrido 
 Coronavirus coronavirus 
 no él tocar el cara , eviten él amigo 
 Coronavirus coronavirus 
 usen desinfectante ese ser mucho efectivo"
sara_bueno-fe.txt	"Eres luz,
nadie puede hacerte sombra.
"	"ser luz , 
 nadie poder hacer tú sombra . 
"
adriana rios_está en ti.txt	"Algo invisible que no distingue, 
posición social o raza puso a prueba a todo el mundo, 
juntos en la misma causa.
Poco a poco falta menos, 
y con la suma de esfuerzos
En el último conteo estaremos todos, AGUANTA.
Ningún mundial sembró en la gente, 
tantas ganas de ganar
De volver a ser como antes, 
de volvernos a abrazar.
Si cada quien pelea desde su trinchera, 
mientras doctores y enfermeras Luchan con garra esta guerra.
ESTA EN TI, ESTA EN TI, ESTA EN TI, 
no es momento de juzgarnos es momento de apoyar. 
Esta en ti, esta esta en ti, 
no hay política o teoría que pese más que una vida
"	"algo invisible que no distinguir , 
 posición social o raza poner a prueba a todo el mundo , 
 junto en el mismo causa . 
 poco a poco faltar menos , 
 y con el suma de esfuerzo 
 en el último conteo estar todo , AGUANTA . 
 ninguno mundial sembrar en el gente , 
 tanto gana de ganar 
 de volver a ser como antes , 
 de volver yo a abrazar . 
 si cada quien pelear desde su trinchera , 
 mientras doctor y enfermera luchar con garra este guerra . 
 este EN tú , estar EN TI , estar EN TI , 
 no ser momento de juzgar yo ser momento de apoyar . 
 este en tú , este estar en tú , 
 no haber política o teoría que pesar más que uno vida 
"
roberta-villla_sin título_2.txt	"Sentido
mejor duerme
que tu alarido de tigre
olor de canto
canción de vino
me aleja de algo
que es más querido
desde el inicio
mi amistad
conmigo."	"sentido 
 mejor dormir 
 que tu alarido de tigre 
 olor de canto 
 canción de vino 
 yo alejar de algo 
 que ser más querer 
 desde el inicio 
 mi amistad 
 yo ."
roberta-villla_sin título.txt	"En este
multiverso a plazos
recalo pausado
en mi lugar
que es desde donde
se interpretan
los sueños de gente
y en todos veo
el mismo cuadro
felicidad latente."	"en este 
 multiverso a plazo 
 recalir pausado 
 en mi lugar 
 que ser desde donde 
 él interpretar 
 el sueño de gente 
 y en todo ver 
 el mismo cuadro 
 felicidad latente ."
donaciano-bueno_se-van.txt	"¿Qué pasa, qué le ocurre a las campanas
que en vez de repicar están llorando,
los viejos del lugar abandonando
cual fuera de vivir no tengan ganas?
   
Se van, se van, se van por las mañanas
se van a todas horas, por las noches
se van poquito a poco y sin reproches
cansados de cuidar y cantar nanas.
   
A solas, sin chistar, sin una mano
que pueda trasmitir algo de aliento,
se van uno tras otro a paso lento
sin rito al que agarrarse de un cristiano.
   
Sin nadie que les rece una oración
se van, se van, se van, se van, se van,
cual trastos a guardarse en el desván
dispuestos a olvidarse en un rincón.
"	"¿ qué pasar , qué él ocurrir a el campana 
 que en vez de repicar estar llorar , 
 el viejo del lugar abandonar 
 cual fuera de vivir no tener gana ? 
   
 él ir , él ir , él ir por el mañana 
 él ir a todo hora , por el noche 
 él ir poquito a poco y sin reproche 
 cansado de cuidar y cantar nana . 
   
 a solas , sin chistar , sin uno mano 
 que poder trasmitir algo de aliento , 
 él ir uno tras otro a paso lento 
 sin rito al que agarrar él de uno cristiano . 
   
 sin nadie que él rezar uno oración 
 él ir , él ir , él ir , él ir , él ir , 
 cual trasto a guardar él en el desván 
 dispuesto a olvidar él en uno rincón . 
"
alejandro sanz_# el mundo fuera.txt	"Tú y yo en mi habitación,
y el mundo fuera.
Puede que parezca una noche más,
pero yo sé que así esparzo amor
y mañana cuando salga el sol
nos querremos aún más
y al fin te podré abrazar
como lo hacíamos antes.

Yo me siento solo
por sólo un instante
pero sé que cuando pase todo esto
tú y yo volveremos a ser
como éramos antes.

Y cuando ya esté seguro que
no pueda herir a nadie,
entonces mis pasos
me llevarán fuera de este caso,
me acercarán hasta donde tú estés
y te abrazaré como nunca te abracé.
Y si alguien quiere
que me diga si espera.

Y guárdame los besos que me debes
y abrazos que tú tengas
ponle nieve para que cuando nos veamos, amor,
nadie se lo espere y tú y yo
nos besemos con la fuerza del corazón.

Tú y yo en mi habitación,

"	"tú y yo en mi habitación , 
 y el mundo fuera . 
 poder que parecer uno noche más , 
 pero yo saber que así esparcer amor 
 y mañana cuando salir el sol 
 yo querer aún más 
 y al fin tú poder abrazar 
 como él hacer antes . 

 yo yo sentir solo 
 por sólo uno instante 
 pero saber que cuando pasar todo este 
 tú y yo volver a ser 
 como ser antes . 

 y cuando ya estar seguro que 
 no poder herir a nadie , 
 entonces mi paso 
 yo llevar fuera de este caso , 
 yo acercar hasta donde tú estar 
 y tú abrazar como nunca tú abrazar . 
 y si alguien querer 
 que yo decir si esperar . 

 y guardar yo el beso que yo deber 
 y abrazo que tú tener 
 pon él nieve para que cuando yo ver , amor , 
 nadie él él esperar y tú y yo 
 yo besar con el fuerza del corazón . 

 tú y yo en mi habitación , 

"
nieves-florido_indignante.txt	"Esparcida.


Me vi con la mente infectada, ensimismada, acelerada en el pensamiento,

me ví recubierta, absurda, fuerte e indefensa.

Lloré por dentro a la vez que reía a través de la compasión y la empatía.

Vino un visitante incoloro y etéreo, conteniente de calor y malestar.

Asfixia.

Casi todo se paralizó; la incompetencia y la desvergüenza se concentró.

Comenzó a oler a muerte, comenzó a vivirse y morirse en soledad, comenzó a vivirse desfachatez

¿La vida en sus manos?, la vida en las manos.

Se paraliza la vida, nos paralizan la vida,

sin derecho a despedida...

Aguardaré la rabia hasta el momento justo.

Aprendamos de esto.
"	"esparcido . 


 yo ver con el mente infectado , ensimismado , acelerado en el pensamiento , 

 yo ver recubierto , absurdo , fuerte e indefenso . 

 llorar por dentro a el vez que reir a través de el compasión y el empatía . 

 venir uno visitante incoloro y etéreo , conteniente de calor y malestar . 

 asfixia . 

 casi todo él paralizar ; el incompetencia y el desvergüenzo se concentrar . 

 comenzar a oler a muerte , comenzar a vivir él y morir él en soledad , comenzar a vivir él desfachatez 

 ¿ el vida en su mano ? , el vida en el mano . 

 él paralizar el vida , yo paralizar el vida , 

 sin derecho a despedida ... 

 aguardar el rabia hasta el momento justo . 

 aprender de este . 
"
ana-cuquerella_si-pudiera.txt	"Si pudiera
decirte que
los árboles han
florecido ya y
que la lluvia,
a ratos mansa
a ratos rugiente
de este loco abril
los agita y clama
al cielo;
Y cómo el sol 
arrulla a ratos
sus hojas brillantes;

Si pudiera enlatar
este olor a vida,
a limpio,
a plantas y a tierra,
a pólenes, a helechos
a jara florecida
y silbarte al oído
todos los cantos
que escucho;

Si pudiera
acariciarte con
el aleteo de las
mariposas 
nacientes
y emocionarte 
con el vuelo 
primigenio
del gorrión en
mi alfeízar;

Si pudieran
alcanzarte
Mi olfato
Mi vista
Mi tacto

Si pudiera
olerte y verte y tocarte
en medio de este
estallido de primavera

Ay, ¡si pudiera!"	"si poder 
 decir tú que 
 el árbol haber 
 florecer ya y 
 que el lluvia , 
 a ratos mansar 
 a ratos rugiente 
 de este loco abril 
 él agitar y clamar 
 al cielo ; 
 y cómo el sol 
 arrullar a ratos 
 su hoja brillante ; 

 Si poder enlatar 
 este olor a vida , 
 a limpio , 
 a planta y a tierra , 
 a polen , a helecho 
 a jara florecido 
 y silbar tú al oído 
 todo el canto 
 que escuchar ; 

 Si poder 
 acariciar tú con 
 el aleteo de el 
 mariposa 
 nacient 
 y emocionar tú 
 con el vuelo 
 primigenio 
 del gorrión en 
 mi alfeízar ; 

 Si poder 
 alcanzar tú 
 mi olfato 
 mi vista 
 mi tacto 

 Si poder 
 oler tú y ver tú y tocar tú 
 en medio de este 
 estallido de primavera 

 Ay , ¡ si poder !"
eresmisentir_sin título.txt	"Hay días en
Los cuales un
Mal momento
Nos invade y
No encontramos
Salida alguna

Y al entrar a este
Mundo virtual
Te encuentras
Con almas que
Sin querer te
Roban una sonrisa

Les invito
A ser el borrador
De una tristeza
Y poder robar
Muchas sonrisas."	"haber día en 
 el cual uno 
 mal momento 
 yo invadir y 
 no encontrar 
 salida alguno 

 y al entrar a este 
 Mundo virtual 
 tú encontrar 
 Con alma que 
 Sin querer tú 
 robar uno sonrisa 

 él invitar 
 A ser el borrador 
 De uno tristeza 
 Y poder robar 
 mucho sonrisa ."
manuel carrasco_prisión esperanza.txt	"De su celda ya no sale
El recluso 19
Barrotes imaginarios
La libertad no se atreve
Cuando se pensó invencible
En una tarde de marzo
El abogado de oficio
Presentó todos los cargos
La soberbia y la codicia
La ambición del ser humano
Con licencia para todo
De lo bueno y de lo malo
Qué importancia tiene ahora
Lo perdido y lo ganado
Las cartas están boca arriba
Y el mundo está boca abajo
Y tú y yo, y tú y yo, y tú y yo
Nosotros y el mundo
Y tú y yo, y tú y yo, y tú y yo
Nosotros y el mundo
En la prisión esperanza
No existen los alegatos
Y desde una celda a otra
Las canciones van volando
Los presos y celadores
A las 8 se dan cita
Y el aplauso que les nace
Llega hasta la enfermería
En la prisión esperanza
No se reciben visitas
Solo el canto de las aves
Del mar que vuelve a la vida
Todos cumplen su condena
De la forma más bonita
No quieren la libertad
Si no es curando la herida
Y tú y yo, y tú y yo, y tú y yo
Nosotros y el mundo
Y tú y yo, y tú y yo, y tú y yo
Nosotros y el mundo
Y estas ganas de querernos
Esperando la salida
Y nos quedará pendiente
Tanta y tanta despedida
Nosotros y el mundo
Amor
Somos agua en medio del desierto
Somos árboles, somos el viento
Somos soledad, somos aliento y corazón
Somos todos buscando el remedio
Somos ellos curando el dolor
Somos la canción, tú respiración
La esperanza que brota del fondo de tu corazón
Y amor
Y amor
Y amor
Y amor
"	"de su celda ya no salir 
 el recluso 19 
 barrot imaginario 
 el libertad no él atrevir 
 cuando él pensar invencible 
 en uno tarde de marzo 
 el abogado de oficio 
 presentar todo el cargo 
 el soberbia y el codicia 
 el ambición del ser humano 
 Con licencia para todo 
 De él bueno y de él malo 
 qué importancia tener ahora 
 él perdido y él ganado 
 el carta estar boca arriba 
 y el mundo estar boca abajo 
 y tú y yo , y tú y yo , y tú y yo 
 yo y el mundo 
 y tú y yo , y tú y yo , y tú y yo 
 yo y el mundo 
 en el prisión esperanza 
 no existir el alegato 
 y desde uno celda a otro 
 el canción ir volar 
 el preso y celador 
 a el 8 él dar cita 
 y el aplauso que él nacer 
 llegar hasta el enfermería 
 en el prisión esperanza 
 no él recibir visita 
 solo el canto de el ave 
 Del mar que volver a el vida 
 todo cumplir su condena 
 de el forma más bonito 
 no querer el libertad 
 Si no ser curar el herida 
 y tú y yo , y tú y yo , y tú y yo 
 yo y el mundo 
 y tú y yo , y tú y yo , y tú y yo 
 yo y el mundo 
 y este gana de querer yo 
 esperar el salida 
 Y yo quedar pendiente 
 tanto y tanto despedida 
 yo y el mundo 
 amor 
 ser agua en medio del desierto 
 ser árbol , ser el viento 
 ser soledad , ser aliento y corazón 
 ser todo buscar el remedio 
 ser él curar el dolor 
 ser el canción , tú respiración 
 el esperanza que brotar del fondo de tu corazón 
 y amor 
 Y amor 
 Y amor 
 Y amor 
"
fernando-criado_esperad-creed-sentid.txt	"ESPERAD, CREED, SENTID


Esperad, a lo nuevo que ya viene… ya llega
Creed, en los hinchados pistilos de las manzanas
Sentid, como las aguas de la primavera nos mojan las caras
Sentid, como os hacen brillar vuestras mejillas los rayos del sol
Creed, en los trinos de los pájaros que se oyen en el silencio
Esperad, a escuchar los sonidos, las músicas, de nuestras próximas reuniones

Sentid, de nuevo, como os calientan los calores del verano
Creed, de nuevo, como disfrutáis de los sabores de los albaricoques nuevos
Esperad, de nuevo, a oír como bajan las aguas de los arroyos de las montañas
Esperad, de nuevo, a sentir, las caricias de los niños que os rodean
Creed, de nuevo, en los poemas que os recitarán al oído
Sentid, de nuevo, el ruido de las gentes, al pasear por las calles

Creed que pronto, habrá nuevas ilusiones en las caras de vuestras gentes
Esperad que pronto, llegará hasta vosotros el suave tacto de las arenas de las playas
Sentid que pronto, podréis cansaros, caminado entre los árboles de los bosques
Sentid que pronto, estaréis sentados, alrededor de una mesa, celebrando fiestas con amigos
Esperad que pronto, podréis ir a escuchar conciertos de vuestras músicas favoritas
Creed que pronto, todos estaremos libres y las incertidumbres y los miedos habrán pasado



Fernando Criado
Trigesimosexto día de alarma y trigesimonoveno día de confinamiento
Segundo escrito del día, para el libro Desde mi Reclusión"	"ESPERAD , CREED , SENTID 


 esperadir , a él nuevo que ya venir … ya llegar 
 Creed , en el hinchado pistilo de el manzana 
 Sentid , como el agua de el primavera yo mojar el cara 
 Sentid , como tú hacer brillar vuestro mejilla el rayo del sol 
 Creed , en el trino de el pájaro que él oir en el silencio 
 Esperad , a escuchar el sonido , el música , de nuestro próximo reunión 

 Sentid , de nuevo , como tú calentar el calor del verano 
 creedir , de nuevo , como disfrutar de el sabor de el albaricoqu nuevo 
 esperar , de nuevo , a oír como bajar el agua de el arroyo de el montaña 
 esperadir , de nuevo , a sentir , el caricia de el niño que tú rodear 
 creed , de nuevo , en el poema que tú recitar al oído 
 sentir , de nuevo , el ruido de el gente , al pasear por el calle 

 creer que pronto , haber nuevo ilusión en el cara de vuestro gente 
 esperar que pronto , llegar hasta tú el suave tacto de el arena de el playa 
 sentir que pronto , podréis cansar tú , caminado entre el árbol de el bosque 
 sentir que pronto , estarer sentado , alrededor de uno mesa , celebrar fiesta con amigo 
 esperar que pronto , podrer ir a escuchar concierto de vuestro música favorito 
 creedir que pronto , todo estar libre y el incertidumbre y el miedo haber pasar 



 Fernando Criado 
 trigesimosexto día de alarma y trigesimonoveno día de confinamiento 
 segundo escrito del día , para el libro Desde mi Reclusión"
